abb,rival,is_local,base_puntos,base_rebotes,base_asistencias,base_valoracion,base_puntos_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos,alero_rebotes,alero_asistencias,alero_valoracion,alero_puntos_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos,pivot_rebotes,pivot_asistencias,pivot_valoracion,pivot_puntos_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra
BAR,Todos,Todas,15,7,10,23,23,4,9,24,37,9,5,36,32,11,5,28,37,15,3,42,31,15,3,32
BAR,Todos Local,Todas Local,14,8,10,23,22,5,9,23,35,8,5,35,31,11,5,25,46,15,4,56,30,13,4,29
BAR,Todos Visitante,Todas Visitante,16,7,10,22,24,3,9,25,40,10,5,36,32,11,4,31,29,15,3,30,32,17,3,34
BAR,COV,Local,13,12,11,21,24,6,7,28,39,7,4,44,23,14,5,2,39,10,3,51,18,10,1,16
BAR,HIO,Visitante,6,8,6,2,8,1,2,10,43,12,7,48,37,13,6,25,29,19,2,34,19,14,1,20
BAR,LLT,Visitante,34,5,15,38,10,4,14,17,29,11,3,39,32,10,4,33,32,9,6,32,39,9,2,46
BAR,BKN,Local,11,8,14,18,23,8,6,30,33,2,5,29,27,6,8,26,45,14,4,48,43,14,5,48
BAR,UNI,Visitante,16,8,17,34,24,4,11,28,35,10,3,31,47,8,4,53,45,11,2,36,32,17,2,31
BAR,COR,Local,21,7,5,31,15,2,10,9,35,11,8,40,31,10,4,17,50,15,4,64,34,18,6,34
BAR,BRE,Visitante,9,10,5,13,25,2,8,22,27,7,7,17,26,10,4,23,34,19,1,43,26,15,3,31
BAR,VBC,Local,13,6,12,26,29,8,15,39,40,4,4,33,40,11,4,48,49,20,7,63,30,12,4,17
BAR,BAX,Visitante,21,5,5,28,32,4,7,25,30,13,6,24,22,4,2,18,21,16,3,22,31,25,4,31
BAR,UCM,Local,13,8,10,20,19,3,5,11,27,17,3,29,34,13,6,31,46,14,4,52,26,13,3,31
BAR,CAZ,Visitante,9,5,10,19,45,4,10,50,73,5,6,59,29,21,5,34,13,16,2,12,42,21,4,48
BAX,Todos,Todas,25,7,9,22,19,4,8,21,25,10,4,23,37,12,4,31,36,18,4,41,24,15,3,27
BAX,Todos Local,Todas Local,26,6,8,24,16,3,8,18,28,10,3,27,37,13,4,30,38,18,4,44,25,16,2,24
BAX,Todos Visitante,Todas Visitante,24,7,9,21,22,4,8,24,21,10,5,18,36,12,5,32,35,18,4,37,24,14,3,30
BAX,VBC,Local,11,5,5,0,15,7,10,14,32,16,3,34,38,12,3,39,34,19,4,43,20,21,2,17
BAX,GIR,Visitante,18,4,6,3,36,6,15,44,24,8,6,24,27,17,2,20,38,27,4,56,21,15,0,23
BAX,DGC,Local,23,8,6,21,7,3,4,9,16,6,2,2,28,14,3,20,40,24,5,57,23,21,4,22
BAX,HIO,Visitante,17,3,13,20,10,2,5,12,19,15,4,15,48,12,7,40,45,15,1,48,13,3,2,4
BAX,RMB,Visitante,13,8,5,1,3,2,1,4,25,14,5,23,65,17,11,67,23,15,1,8,18,19,5,37
BAX,UNI,Local,22,10,14,32,23,2,7,26,37,13,7,50,21,9,2,4,50,13,5,56,25,10,2,15
BAX,COV,Local,23,8,7,14,18,2,8,12,28,16,1,29,42,13,3,22,42,17,2,56,26,13,3,33
BAX,LLT,Visitante,42,6,13,48,36,8,13,39,5,3,4,-9,21,7,2,19,39,21,5,48,37,12,6,50
BAX,BAR,Local,32,4,7,25,21,5,5,28,22,4,2,18,30,13,6,24,31,25,4,31,21,16,3,22
BAX,COR,Visitante,31,13,8,32,23,4,5,23,30,12,4,36,21,8,2,13,28,13,8,25,30,23,4,38
BAX,MBA,Local,47,4,12,49,14,1,11,21,32,5,3,29,62,15,7,68,28,12,1,21,35,12,1,32
BKN,Todos,Todas,20,6,6,20,16,4,10,19,37,12,6,34,35,10,7,34,28,15,4,36,38,17,2,45
BKN,Todos Local,Todas Local,23,6,6,24,19,4,12,23,42,14,6,40,39,11,7,38,26,14,4,34,38,18,3,45
BKN,Todos Visitante,Todas Visitante,18,6,5,18,13,4,9,16,33,10,7,30,31,9,7,30,30,16,4,39,38,16,2,45
BKN,LLT,Visitante,12,4,6,10,16,2,10,17,40,13,7,35,36,14,4,46,28,12,2,27,28,13,2,37
BKN,MBA,Local,20,5,8,19,17,4,14,18,49,15,6,50,48,12,5,50,22,12,4,30,30,19,2,34
BKN,UCM,Local,18,5,6,20,24,2,7,18,32,17,7,37,24,11,9,27,45,11,3,53,44,19,4,47
BKN,BAR,Visitante,23,8,6,30,11,8,14,18,27,6,8,26,33,2,5,29,43,14,5,48,45,14,4,48
BKN,JOV,Local,32,3,4,20,16,6,7,22,30,9,2,18,31,8,9,28,17,21,8,43,35,17,3,47
BKN,DGC,Visitante,21,6,1,21,8,4,11,11,42,9,6,36,38,12,13,42,23,17,5,35,46,19,1,53
BKN,HIO,Local,22,7,5,28,3,0,7,3,56,20,5,62,60,13,8,49,22,11,3,20,34,15,3,41
BKN,CAZ,Visitante,22,7,4,18,17,2,6,19,41,14,11,42,28,10,5,25,22,16,8,33,43,15,2,52
BKN,VBC,Local,23,9,8,32,37,6,23,56,42,9,9,35,32,12,2,36,26,13,4,22,47,21,3,58
BKN,SBB,Visitante,14,6,7,9,15,7,8,25,20,9,6,14,18,7,7,9,35,20,5,53,34,18,0,37
