abb,rival,is_local,jornada,base_puntos,base_x3pt,base_rebotes,base_asistencias,base_valoracion,alero_puntos,alero_x3pt,alero_rebotes,alero_asistencias,alero_valoracion,pivot_puntos,pivot_x3pt,pivot_rebotes,pivot_asistencias,pivot_valoracion,base_puntos_encontra,base_x3pt_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos_encontra,alero_x3pt_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos_encontra,pivot_x3pt_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra,id_match,equipo.x,logo.x,color,url.x,logo_cuadrado,equipo.y,logo.y,color_rival,logo_rival
BAR,Todos,Todas,Jor. NA,12,3,4,5,11,44,5,18,6,44,27,0,10,4,32,14,2,4,6,21,40,4,17,7,31,33,2,14,4,40,NA,Barça,https://static.acb.com/img/www/clubes2024/2324BarcaLogoweb.png,#154284,https://www.acb.com/club/plantilla/id/2,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,NA,NA,NA,NA
BAR,Todos,Todas Local,Jor. NA,11,3,3,4,11,43,5,16,8,44,32,0,13,4,32,10,2,0,3,11,65,7,30,8,61,16,0,5,4,24,NA,Barça,https://static.acb.com/img/www/clubes2024/2324BarcaLogoweb.png,#154284,https://www.acb.com/club/plantilla/id/2,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,NA,NA,NA,NA
BAR,Todos,Todas  Visitante,Jor. NA,12,2,4,5,11,44,5,18,6,44,25,0,8,4,32,16,2,6,8,26,28,3,10,6,16,42,4,18,4,48,NA,Barça,https://static.acb.com/img/www/clubes2024/2324BarcaLogoweb.png,#154284,https://www.acb.com/club/plantilla/id/2,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,NA,NA,NA,NA
BAR,VBC,Visitante,Jor. 1,9,1,3,6,5,50,7,18,5,43,22,1,12,5,31,18,3,6,10,29,34,5,12,9,28,41,4,15,5,54,104467,Barça,https://static.acb.com/img/www/clubes2024/2324BarcaLogoweb.png,#154284,https://www.acb.com/club/plantilla/id/2,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,Valencia Basket,https://static.acb.com/img/23/2/25/1654748673.png,#FC6C0F,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/VBC.png
BAR,HIO,Local,Jor. 2,11,3,3,4,11,43,5,16,8,44,32,0,13,4,32,10,2,0,3,11,65,7,30,8,61,16,0,5,4,24,104473,Barça,https://static.acb.com/img/www/clubes2024/2324BarcaLogoweb.png,#154284,https://www.acb.com/club/plantilla/id/2,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png
BAR,UNI,Visitante,Jor. 3,16,4,6,4,17,39,3,19,6,45,28,0,5,2,32,13,1,7,5,22,22,1,9,3,5,42,3,22,3,42,104485,Barça,https://static.acb.com/img/www/clubes2024/2324BarcaLogoweb.png,#154284,https://www.acb.com/club/plantilla/id/2,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,Unicaja,https://static.acb.com/img/www/clubes2024/2324UnicajaLogo.png,#3D9C35,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UNI.png
BAX,Todos,Todas,Jor. NA,21,2,7,12,22,31,4,9,2,27,33,3,13,5,34,17,3,3,5,10,35,4,12,5,37,40,3,22,6,51,NA,BAXI Manresa,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,https://www.acb.com/club/plantilla/id/10,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,NA,NA,NA,NA
BAX,Todos,Todas Local,Jor. NA,21,3,6,10,20,31,4,9,2,26,30,3,16,4,34,10,2,2,5,2,36,4,14,4,34,32,3,22,4,40,NA,BAXI Manresa,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,https://www.acb.com/club/plantilla/id/10,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,NA,NA,NA,NA
BAX,Todos,Todas  Visitante,Jor. NA,22,0,8,14,25,32,4,10,3,29,39,3,8,6,34,31,5,6,5,28,34,4,9,6,43,57,4,22,10,73,NA,BAXI Manresa,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,https://www.acb.com/club/plantilla/id/10,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,NA,NA,NA,NA
BAX,LLT,Visitante,Jor. 1,22,0,8,14,25,32,4,10,3,29,39,3,8,6,34,31,5,6,5,28,34,4,9,6,43,57,4,22,10,73,104461,BAXI Manresa,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,https://www.acb.com/club/plantilla/id/10,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png
BAX,COV,Local,Jor. 2,18,1,5,12,25,34,4,11,1,28,31,3,20,6,39,8,1,2,4,-4,27,4,15,4,18,33,1,29,2,40,104471,BAXI Manresa,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,https://www.acb.com/club/plantilla/id/10,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png
BAX,DGC,Local,Jor. 3,24,5,8,9,15,28,4,7,2,25,28,3,12,3,29,12,3,1,6,7,44,4,12,5,51,31,5,15,5,39,104477,BAXI Manresa,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,https://www.acb.com/club/plantilla/id/10,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png
BKN,Todos,Todas,Jor. NA,25,1,7,10,35,41,5,13,4,33,26,2,11,3,28,20,3,3,8,19,38,4,11,7,35,38,1,18,3,47,NA,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://www.acb.com/club/plantilla/id/3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,NA,NA,NA,NA
BKN,Todos,Todas Local,Jor. NA,39,2,13,13,63,38,5,5,5,28,28,2,6,1,25,18,2,4,10,22,42,4,8,7,30,40,4,16,2,53,NA,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://www.acb.com/club/plantilla/id/3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,NA,NA,NA,NA
BKN,Todos,Todas  Visitante,Jor. NA,18,0,4,8,22,42,4,17,3,35,26,2,13,4,30,21,3,2,7,18,36,4,12,7,38,37,0,19,4,44,NA,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://www.acb.com/club/plantilla/id/3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,NA,NA,NA,NA
BKN,CAZ,Visitante,Jor. 1,14,0,4,8,19,46,3,19,3,38,28,1,16,4,31,31,3,2,9,29,39,5,18,11,51,37,0,21,4,40,104465,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://www.acb.com/club/plantilla/id/3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png
BKN,RMB,Local,Jor. 2,39,2,13,13,63,38,5,5,5,28,28,2,6,1,25,18,2,4,10,22,42,4,8,7,30,40,4,16,2,53,104476,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://www.acb.com/club/plantilla/id/3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,Real Madrid,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png,#FFFFFF,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png
