birthdate,injuredDays,up15,photo2,isActive,idTeam,nick,number,insertDatetime,price,height,isNational,isExitLeague,initialPrice,fullName,photo,url,fisicStatus,imageTeam,license,idPlayer,birthplace,nationality,competitionAverage,teamNegative,numberJourney,team,isLocal,pointsJourney,keep,imageTeamNegative,position,isExtraCommunity,shortName,nameTeam,age,down15
08/04/1997,0,51,0000783364_5-6_03.jpg,TRUE,18,Batemon,1,20250227T171936+0000,864167,185,FALSE,FALSE,490000,James Batemon,0000783359_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003914,fit,2425HioposLleida_positivo.png,EXT,293,Wisconsin,EE.UU.,17.3,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,17.3,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,3,TRUE,J. Batemon,Hiopos Lleida,28,-16.4
29/04/1996,0,82.3,0000570204_5-6_03.jpg,TRUE,18,Bozic,8,20240909T093415+0000,728333,200,FALSE,FALSE,580000,Luka Bozic,0000570188_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003420,fit,2425HioposLleida_positivo.png,EUR,151,Bjelovar,Croacia,14.6,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,14.6,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,3,FALSE,L. Bozic,Hiopos Lleida,29,-53.2
20/10/1994,0,50.9,0000770893_5-6_03.jpg,TRUE,16,Geben,12,20250102T183911+0000,635789,208,FALSE,FALSE,400000,Martinas Geben,0000770885_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30002443,fit,BASQUET-GIRONA-Logonegativo2223.png,EUR,274,Vilnus,Lituania,12.7,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,12.7,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,5,FALSE,M. Geben,Bàsquet Girona,30,-25.4
20/05/1994,0,71.5,0000570251_5-6_03.jpg,TRUE,18,Paulí,5,20240909T093415+0000,616129,201,TRUE,FALSE,390000,Oriol Paulí,0000570243_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20209098,fit,2425HioposLleida_positivo.png,JFL,154,Girona,España,12.3,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,12.3,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,3,FALSE,O. Paulí,Hiopos Lleida,31,-46.8
21/11/2002,0,60.3,0000568285_5-6_03.jpg,TRUE,16,Fernández,21,20240909T093414+0000,579630,210,TRUE,FALSE,375000,Juan Fernández,0000568273_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30000138,injured,BASQUET-GIRONA-Logonegativo2223.png,JFL,134,Santa Fe,España,11.6,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,11.6,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,5,FALSE,J. Fernández,Bàsquet Girona,22,-37.1
25/11/1997,0,61.1,0000568317_5-6_03.jpg,TRUE,16,Fjellerup,2,20240909T093414+0000,541000,198,FALSE,FALSE,140000,Maxi Fjellerup,0000568312_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30001997,injured,BASQUET-GIRONA-Logonegativo2223.png,EUR,130,Tres Arroyos,Argentina,10.8,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,10.8,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,3,FALSE,M. Fjellerup,Bàsquet Girona,27,-39.5
14/03/1995,0,61.1,0000568229_5-6_03.jpg,TRUE,16,Iroegbu,0,20240909T093414+0000,526452,188,FALSE,FALSE,575000,Ike Iroegbu,0000568215_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30002683,fit,BASQUET-GIRONA-Logonegativo2223.png,COT,127,Sacramento (California),Nigeria,10.5,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,10.5,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,1,FALSE,I. Iroegbu,Bàsquet Girona,30,-40
09/08/2004,0,57.5,0000570305_5-6_03.jpg,TRUE,18,Villar,4,20240909T093415+0000,483438,191,TRUE,FALSE,220000,Rafael Villar,0000570293_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30001243,fit,2425HioposLleida_positivo.png,JFL,152,Barcelona,España,9.7,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,9.7,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,1,FALSE,R. Villar,Hiopos Lleida,20,-38.2
30/09/1998,0,55.2,0000568153_5-6_03.jpg,TRUE,16,Durham,42,20240911T150142+0000,464062,193,FALSE,FALSE,550000,Aljami Durham,0000568142_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003360,fit,BASQUET-GIRONA-Logonegativo2223.png,EXT,227,Nueva York,EE.UU.,9.3,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,9.3,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,1,TRUE,A. Durham,Bàsquet Girona,26,-36.7
06/07/2000,0,45.1,0000568301_5-6_03.jpg,TRUE,16,Marcos,6,20240909T093414+0000,446538,190,FALSE,FALSE,400000,Juani Marcos,0000568291_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30000108,fit,BASQUET-GIRONA-Logonegativo2223.png,EUR,131,Rosario,Italia,8.9,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,8.9,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,1,FALSE,J. Marcos,Bàsquet Girona,24,-27.2
